modelId,brand,nominalSize,property,reason
model-gardner-922,"Gardner Bender",1,stub_deduct,no source-backed fact
model-gardner-922,"Gardner Bender",1,centerline_radius,no source-backed fact
model-gardner-923,"Gardner Bender",1-1/4,stub_take_up,no source-backed fact
model-gardner-923,"Gardner Bender",1-1/4,stub_deduct,no source-backed fact
model-gardner-923,"Gardner Bender",1-1/4,centerline_radius,no source-backed fact
model-gardner-930b,"Gardner Bender",1/2,stub_take_up,no source-backed fact
model-gardner-930b,"Gardner Bender",1/2,stub_deduct,no source-backed fact
model-gardner-930b,"Gardner Bender",1/2,centerline_radius,no source-backed fact
model-gardner-931b,"Gardner Bender",3/4,stub_take_up,no source-backed fact
model-gardner-931b,"Gardner Bender",3/4,stub_deduct,no source-backed fact
model-gardner-931b,"Gardner Bender",3/4,centerline_radius,no source-backed fact
model-gardner-932,"Gardner Bender",1,stub_take_up,no source-backed fact
model-gardner-932,"Gardner Bender",1,stub_deduct,no source-backed fact
model-gardner-932,"Gardner Bender",1,centerline_radius,no source-backed fact
